y_m,alpha_deg,beta_deg,mach_nd,deflection_deg,delta_cn_sec_nd,delta_cm_sec_nd,delta_cc_sec_nd
-5.45,-6.0,0.0,0.8,-20.0,-1.133333,0.5,0.059233
-5.45,-6.0,0.0,0.8,-10.0,-0.566667,0.25,0.029616
-5.45,-6.0,0.0,0.8,0.0,0.0,-0.0,-0.0
-5.45,-6.0,0.0,0.8,10.0,0.566667,-0.25,-0.029616
-5.45,-6.0,0.0,0.8,20.0,1.133333,-0.5,-0.059233
-5.45,-6.0,5.0,0.3,-20.0,-0.712834,0.314485,0.037256
-5.45,-6.0,5.0,0.3,-10.0,-0.356417,0.157243,0.018628
-5.45,-6.0,5.0,0.3,0.0,0.0,-0.0,-0.0
-5.45,-6.0,5.0,0.3,10.0,0.356417,-0.157243,-0.018628
-5.45,-6.0,5.0,0.3,20.0,0.712834,-0.314485,-0.037256
-5.45,-6.0,5.0,0.5,-20.0,-0.785196,0.34641,0.041038
-5.45,-6.0,5.0,0.5,-10.0,-0.392598,0.173205,0.020519
-5.45,-6.0,5.0,0.5,0.0,0.0,-0.0,-0.0
-5.45,-6.0,5.0,0.5,10.0,0.392598,-0.173205,-0.020519
-5.45,-6.0,5.0,0.5,20.0,0.785196,-0.34641,-0.041038
-5.45,-6.0,5.0,0.65,-20.0,-0.894814,0.394771,0.046767
-5.45,-6.0,5.0,0.65,-10.0,-0.447407,0.197386,0.023383
-5.45,-6.0,5.0,0.65,0.0,0.0,-0.0,-0.0
-5.45,-6.0,5.0,0.65,10.0,0.447407,-0.197386,-0.023383
-5.45,-6.0,5.0,0.65,20.0,0.894814,-0.394771,-0.046767
-5.45,-6.0,5.0,0.72,-20.0,-0.979864,0.432293,0.051212
-5.45,-6.0,5.0,0.72,-10.0,-0.489932,0.216146,0.025606
-5.45,-6.0,5.0,0.72,0.0,0.0,-0.0,-0.0
-5.45,-6.0,5.0,0.72,10.0,0.489932,-0.216146,-0.025606
-5.45,-6.0,5.0,0.72,20.0,0.979864,-0.432293,-0.051212
-5.45,-6.0,5.0,0.8,-20.0,-1.133333,0.5,0.059233
-5.45,-6.0,5.0,0.8,-10.0,-0.566667,0.25,0.029616
-5.45,-6.0,5.0,0.8,0.0,0.0,-0.0,-0.0
-5.45,-6.0,5.0,0.8,10.0,0.566667,-0.25,-0.029616
-5.45,-6.0,5.0,0.8,20.0,1.133333,-0.5,-0.059233
-5.45,-6.0,10.0,0.3,-20.0,-0.712834,0.314485,0.037256
-5.45,-6.0,10.0,0.3,-10.0,-0.356417,0.157243,0.018628
-5.45,-6.0,10.0,0.3,0.0,0.0,-0.0,-0.0
-5.45,-6.0,10.0,0.3,10.0,0.356417,-0.157243,-0.018628
-5.45,-6.0,10.0,0.3,20.0,0.712834,-0.314485,-0.037256
-5.45,-6.0,10.0,0.5,-20.0,-0.785196,0.34641,0.041038
-5.45,-6.0,10.0,0.5,-10.0,-0.392598,0.173205,0.020519
-5.45,-6.0,10.0,0.5,0.0,0.0,-0.0,-0.0
-5.45,-6.0,10.0,0.5,10.0,0.392598,-0.173205,-0.020519
-5.45,-6.0,10.0,0.5,20.0,0.785196,-0.34641,-0.041038
-5.45,-6.0,10.0,0.65,-20.0,-0.894814,0.394771,0.046767
-5.45,-6.0,10.0,0.65,-10.0,-0.447407,0.197386,0.023383
-5.45,-6.0,10.0,0.65,0.0,0.0,-0.0,-0.0
-5.45,-6.0,10.0,0.65,10.0,0.447407,-0.197386,-0.023383
-5.45,-6.0,10.0,0.65,20.0,0.894814,-0.394771,-0.046767
-5.45,-6.0,10.0,0.72,-20.0,-0.979864,0.432293,0.051212
-5.45,-6.0,10.0,0.72,-10.0,-0.489932,0.216146,0.025606
-5.45,-6.0,10.0,0.72,0.0,0.0,-0.0,-0.0
-5.45,-6.0,10.0,0.72,10.0,0.489932,-0.216146,-0.025606
-5.45,-6.0,10.0,0.72,20.0,0.979864,-0.432293,-0.051212
-5.45,-6.0,10.0,0.8,-20.0,-1.133333,0.5,0.059233
-5.45,-6.0,10.0,0.8,-10.0,-0.566667,0.25,0.029616
-5.45,-6.0,10.0,0.8,0.0,0.0,-0.0,-0.0
-5.45,-6.0,10.0,0.8,10.0,0.566667,-0.25,-0.029616
-5.45,-6.0,10.0,0.8,20.0,1.133333,-0.5,-0.059233
-5.45,-3.0,-10.0,0.3,-20.0,-0.712834,0.314485,0.018653
-5.45,-3.0,-10.0,0.3,-10.0,-0.356417,0.157243,0.009327
-5.45,-3.0,-10.0,0.3,0.0,0.0,-0.0,-0.0
-5.45,-3.0,-10.0,0.3,10.0,0.356417,-0.157243,-0.009327
-5.45,-3.0,-10.0,0.3,20.0,0.712834,-0.314485,-0.018653
-5.45,-3.0,-10.0,0.5,-20.0,-0.785196,0.34641,0.020547
-5.45,-3.0,-10.0,0.5,-10.0,-0.392598,0.173205,0.010274
-5.45,-3.0,-10.0,0.5,0.0,0.0,-0.0,-0.0
-5.45,-3.0,-10.0,0.5,10.0,0.392598,-0.173205,-0.010274
-5.45,-3.0,-10.0,0.5,20.0,0.785196,-0.34641,-0.020547
-5.45,-3.0,-10.0,0.65,-20.0,-0.894814,0.394771,0.023415
-5.45,-3.0,-10.0,0.65,-10.0,-0.447407,0.197386,0.011708
-5.45,-3.0,-10.0,0.65,0.0,0.0,-0.0,-0.0
-5.45,-3.0,-10.0,0.65,10.0,0.447407,-0.197386,-0.011708
-5.45,-3.0,-10.0,0.65,20.0,0.894814,-0.394771,-0.023415
-5.45,-3.0,-10.0,0.72,-20.0,-0.979864,0.432293,0.025641
-5.45,-3.0,-10.0,0.72,-10.0,-0.489932,0.216146,0.012821
-5.45,-3.0,-10.0,0.72,0.0,0.0,-0.0,-0.0
-5.45,-3.0,-10.0,0.72,10.0,0.489932,-0.216146,-0.012821
-5.45,-3.0,-10.0,0.72,20.0,0.979864,-0.432293,-0.025641
-5.45,-3.0,-10.0,0.8,-20.0,-1.133333,0.5,0.029657
-5.45,-3.0,-10.0,0.8,-10.0,-0.566667,0.25,0.014829
-5.45,-3.0,-10.0,0.8,0.0,0.0,-0.0,-0.0
-5.45,-3.0,-10.0,0.8,10.0,0.566667,-0.25,-0.014829
-5.45,-3.0,-10.0,0.8,20.0,1.133333,-0.5,-0.029657
-5.45,-3.0,-5.0,0.3,-20.0,-0.712834,0.314485,0.018653
-5.45,-3.0,-5.0,0.3,-10.0,-0.356417,0.157243,0.009327
-5.45,-3.0,-5.0,0.3,0.0,0.0,-0.0,-0.0
-5.45,-3.0,-5.0,0.3,10.0,0.356417,-0.157243,-0.009327
-5.45,-3.0,-5.0,0.3,20.0,0.712834,-0.314485,-0.018653
-5.45,-3.0,-5.0,0.5,-20.0,-0.785196,0.34641,0.020547
-5.45,-3.0,-5.0,0.5,-10.0,-0.392598,0.173205,0.010274
-5.45,-3.0,-5.0,0.5,0.0,0.0,-0.0,-0.0
-5.45,-3.0,-5.0,0.5,10.0,0.392598,-0.173205,-0.010274
-5.45,-3.0,-5.0,0.5,20.0,0.785196,-0.34641,-0.020547
-5.45,-3.0,-5.0,0.65,-20.0,-0.894814,0.394771,0.023415
-5.45,-3.0,-5.0,0.65,-10.0,-0.447407,0.197386,0.011708
-5.45,-3.0,-5.0,0.65,0.0,0.0,-0.0,-0.0
-5.45,-3.0,-5.0,0.65,10.0,0.447407,-0.197386,-0.011708
-5.45,-3.0,-5.0,0.65,20.0,0.894814,-0.394771,-0.023415
-5.45,-3.0,-5.0,0.72,-20.0,-0.979864,0.432293,0.025641
-5.45,-3.0,-5.0,0.72,-10.0,-0.489932,0.216146,0.012821
-5.45,-3.0,-5.0,0.72,0.0,0.0,-0.0,-0.0
-5.45,-3.0,-5.0,0.72,10.0,0.489932,-0.216146,-0.012821
-5.45,-3.0,-5.0,0.72,20.0,0.979864,-0.432293,-0.025641
-5.45,-3.0,-5.0,0.8,-20.0,-1.133333,0.5,0.029657
-5.45,-3.0,-5.0,0.8,-10.0,-0.566667,0.25,0.014829
-5.45,-3.0,-5.0,0.8,0.0,0.0,-0.0,-0.0
-5.45,-3.0,-5.0,0.8,10.0,0.566667,-0.25,-0.014829
-5.45,-3.0,-5.0,0.8,20.0,1.133333,-0.5,-0.029657
-5.45,-3.0,0.0,0.3,-20.0,-0.712834,0.314485,0.018653
-5.45,-3.0,0.0,0.3,-10.0,-0.356417,0.157243,0.009327
-5.45,-3.0,0.0,0.3,0.0,0.0,-0.0,-0.0
-5.45,-3.0,0.0,0.3,10.0,0.356417,-0.157243,-0.009327
-5.45,-3.0,0.0,0.3,20.0,0.712834,-0.314485,-0.018653
-5.45,-3.0,0.0,0.5,-20.0,-0.785196,0.34641,0.020547
-5.45,-3.0,0.0,0.5,-10.0,-0.392598,0.173205,0.010274
-5.45,-3.0,0.0,0.5,0.0,0.0,-0.0,-0.0
-5.45,-3.0,0.0,0.5,10.0,0.392598,-0.173205,-0.010274
-5.45,-3.0,0.0,0.5,20.0,0.785196,-0.34641,-0.020547
-5.45,-3.0,0.0,0.65,-20.0,-0.894814,0.394771,0.023415
-5.45,-3.0,0.0,0.65,-10.0,-0.447407,0.197386,0.011708
-5.45,-3.0,0.0,0.65,0.0,0.0,-0.0,-0.0
-5.45,-3.0,0.0,0.65,10.0,0.447407,-0.197386,-0.011708
-5.45,-3.0,0.0,0.65,20.0,0.894814,-0.394771,-0.023415
-5.45,-3.0,0.0,0.72,-20.0,-0.979864,0.432293,0.025641
-5.45,-3.0,0.0,0.72,-10.0,-0.489932,0.216146,0.012821
-5.45,-3.0,0.0,0.72,0.0,0.0,-0.0,-0.0
-5.45,-3.0,0.0,0.72,10.0,0.489932,-0.216146,-0.012821
-5.45,-3.0,0.0,0.72,20.0,0.979864,-0.432293,-0.025641
-5.45,-3.0,0.0,0.8,-20.0,-1.133333,0.5,0.029657
-5.45,-3.0,0.0,0.8,-10.0,-0.566667,0.25,0.014829
-5.45,-3.0,0.0,0.8,0.0,0.0,-0.0,-0.0
-5.45,-3.0,0.0,0.8,10.0,0.566667,-0.25,-0.014829
-5.45,-3.0,0.0,0.8,20.0,1.133333,-0.5,-0.029657
-5.45,-3.0,5.0,0.3,-20.0,-0.712834,0.314485,0.018653
-5.45,-3.0,5.0,0.3,-10.0,-0.356417,0.157243,0.009327
-5.45,-3.0,5.0,0.3,0.0,0.0,-0.0,-0.0
-5.45,-3.0,5.0,0.3,10.0,0.356417,-0.157243,-0.009327
-5.45,-3.0,5.0,0.3,20.0,0.712834,-0.314485,-0.018653
-5.45,-3.0,5.0,0.5,-20.0,-0.785196,0.34641,0.020547
-5.45,-3.0,5.0,0.5,-10.0,-0.392598,0.173205,0.010274
-5.45,-3.0,5.0,0.5,0.0,0.0,-0.0,-0.0
-5.45,-3.0,5.0,0.5,10.0,0.392598,-0.173205,-0.010274
-5.45,-3.0,5.0,0.5,20.0,0.785196,-0.34641,-0.020547
-5.45,-3.0,5.0,0.65,-20.0,-0.894814,0.394771,0.023415
-5.45,-3.0,5.0,0.65,-10.0,-0.447407,0.197386,0.011708
-5.45,-3.0,5.0,0.65,0.0,0.0,-0.0,-0.0
-5.45,-3.0,5.0,0.65,10.0,0.447407,-0.197386,-0.011708
-5.45,-3.0,5.0,0.65,20.0,0.894814,-0.394771,-0.023415
-5.45,-3.0,5.0,0.72,-20.0,-0.979864,0.432293,0.025641
-5.45,-3.0,5.0,0.72,-10.0,-0.489932,0.216146,0.012821
-5.45,-3.0,5.0,0.72,0.0,0.0,-0.0,-0.0
-5.45,-3.0,5.0,0.72,10.0,0.489932,-0.216146,-0.012821
-5.45,-3.0,5.0,0.72,20.0,0.979864,-0.432293,-0.025641
-5.45,-3.0,5.0,0.8,-20.0,-1.133333,0.5,0.029657
-5.45,-3.0,5.0,0.8,-10.0,-0.566667,0.25,0.014829
-5.45,-3.0,5.0,0.8,0.0,0.0,-0.0,-0.0
-5.45,-3.0,5.0,0.8,10.0,0.566667,-0.25,-0.014829
-5.45,-3.0,5.0,0.8,20.0,1.133333,-0.5,-0.029657
-5.45,-3.0,10.0,0.3,-20.0,-0.712834,0.314485,0.018653
-5.45,-3.0,10.0,0.3,-10.0,-0.356417,0.157243,0.009327
-5.45,-3.0,10.0,0.3,0.0,0.0,-0.0,-0.0
-5.45,-3.0,10.0,0.3,10.0,0.356417,-0.157243,-0.009327
-5.45,-3.0,10.0,0.3,20.0,0.712834,-0.314485,-0.018653
-5.45,-3.0,10.0,0.5,-20.0,-0.785196,0.34641,0.020547
-5.45,-3.0,10.0,0.5,-10.0,-0.392598,0.173205,0.010274
-5.45,-3.0,10.0,0.5,0.0,0.0,-0.0,-0.0
-5.45,-3.0,10.0,0.5,10.0,0.392598,-0.173205,-0.010274
-5.45,-3.0,10.0,0.5,20.0,0.785196,-0.34641,-0.020547
-5.45,-3.0,10.0,0.65,-20.0,-0.894814,0.394771,0.023415
-5.45,-3.0,10.0,0.65,-10.0,-0.447407,0.197386,0.011708
-5.45,-3.0,10.0,0.65,0.0,0.0,-0.0,-0.0
-5.45,-3.0,10.0,0.65,10.0,0.447407,-0.197386,-0.011708
-5.45,-3.0,10.0,0.65,20.0,0.894814,-0.394771,-0.023415
-5.45,-3.0,10.0,0.72,-20.0,-0.979864,0.432293,0.025641
-5.45,-3.0,10.0,0.72,-10.0,-0.489932,0.216146,0.012821
-5.45,-3.0,10.0,0.72,0.0,0.0,-0.0,-0.0
-5.45,-3.0,10.0,0.72,10.0,0.489932,-0.216146,-0.012821
-5.45,-3.0,10.0,0.72,20.0,0.979864,-0.432293,-0.025641
-5.45,-3.0,10.0,0.8,-20.0,-1.133333,0.5,0.029657
-5.45,-3.0,10.0,0.8,-10.0,-0.566667,0.25,0.014829
-5.45,-3.0,10.0,0.8,0.0,0.0,-0.0,-0.0
-5.45,-3.0,10.0,0.8,10.0,0.566667,-0.25,-0.014829
-5.45,-3.0,10.0,0.8,20.0,1.133333,-0.5,-0.029657
-5.45,0.0,-10.0,0.3,-20.0,-0.712834,0.314485,-0.0
-5.45,0.0,-10.0,0.3,-10.0,-0.356417,0.157243,-0.0
-5.45,0.0,-10.0,0.3,0.0,0.0,-0.0,0.0
-5.45,0.0,-10.0,0.3,10.0,0.356417,-0.157243,0.0
-5.45,0.0,-10.0,0.3,20.0,0.712834,-0.314485,0.0
-5.45,0.0,-10.0,0.5,-20.0,-0.785196,0.34641,-0.0
-5.45,0.0,-10.0,0.5,-10.0,-0.392598,0.173205,-0.0
-5.45,0.0,-10.0,0.5,0.0,0.0,-0.0,0.0
-5.45,0.0,-10.0,0.5,10.0,0.392598,-0.173205,0.0
-5.45,0.0,-10.0,0.5,20.0,0.785196,-0.34641,0.0
-5.45,0.0,-10.0,0.65,-20.0,-0.894814,0.394771,-0.0
-5.45,0.0,-10.0,0.65,-10.0,-0.447407,0.197386,-0.0
-5.45,0.0,-10.0,0.65,0.0,0.0,-0.0,0.0
-5.45,0.0,-10.0,0.65,10.0,0.447407,-0.197386,0.0
-5.45,0.0,-10.0,0.65,20.0,0.894814,-0.394771,0.0
-5.45,0.0,-10.0,0.72,-20.0,-0.979864,0.432293,-0.0
-5.45,0.0,-10.0,0.72,-10.0,-0.489932,0.216146,-0.0
-5.45,0.0,-10.0,0.72,0.0,0.0,-0.0,0.0
-5.45,0.0,-10.0,0.72,10.0,0.489932,-0.216146,0.0
-5.45,0.0,-10.0,0.72,20.0,0.979864,-0.432293,0.0
-5.45,0.0,-10.0,0.8,-20.0,-1.133333,0.5,-0.0
-5.45,0.0,-10.0,0.8,-10.0,-0.566667,0.25,-0.0
-5.45,0.0,-10.0,0.8,0.0,0.0,-0.0,0.0
-5.45,0.0,-10.0,0.8,10.0,0.566667,-0.25,0.0
-5.45,0.0,-10.0,0.8,20.0,1.133333,-0.5,0.0
-5.45,0.0,-5.0,0.3,-20.0,-0.712834,0.314485,-0.0
-5.45,0.0,-5.0,0.3,-10.0,-0.356417,0.157243,-0.0
-5.45,0.0,-5.0,0.3,0.0,0.0,-0.0,0.0
-5.45,0.0,-5.0,0.3,10.0,0.356417,-0.157243,0.0
-5.45,0.0,-5.0,0.3,20.0,0.712834,-0.314485,0.0
-5.45,0.0,-5.0,0.5,-20.0,-0.785196,0.34641,-0.0
-5.45,0.0,-5.0,0.5,-10.0,-0.392598,0.173205,-0.0
-5.45,0.0,-5.0,0.5,0.0,0.0,-0.0,0.0
-5.45,0.0,-5.0,0.5,10.0,0.392598,-0.173205,0.0
-5.45,0.0,-5.0,0.5,20.0,0.785196,-0.34641,0.0
-5.45,0.0,-5.0,0.65,-20.0,-0.894814,0.394771,-0.0
-5.45,0.0,-5.0,0.65,-10.0,-0.447407,0.197386,-0.0
-5.45,0.0,-5.0,0.65,0.0,0.0,-0.0,0.0
-5.45,0.0,-5.0,0.65,10.0,0.447407,-0.197386,0.0
-5.45,0.0,-5.0,0.65,20.0,0.894814,-0.394771,0.0
-5.45,0.0,-5.0,0.72,-20.0,-0.979864,0.432293,-0.0
-5.45,0.0,-5.0,0.72,-10.0,-0.489932,0.216146,-0.0
-5.45,0.0,-5.0,0.72,0.0,0.0,-0.0,0.0
-5.45,0.0,-5.0,0.72,10.0,0.489932,-0.216146,0.0
-5.45,0.0,-5.0,0.72,20.0,0.979864,-0.432293,0.0
-5.45,0.0,-5.0,0.8,-20.0,-1.133333,0.5,-0.0
-5.45,0.0,-5.0,0.8,-10.0,-0.566667,0.25,-0.0
-5.45,0.0,-5.0,0.8,0.0,0.0,-0.0,0.0
-5.45,0.0,-5.0,0.8,10.0,0.566667,-0.25,0.0
-5.45,0.0,-5.0,0.8,20.0,1.133333,-0.5,0.0
-5.45,0.0,0.0,0.3,-20.0,-0.712834,0.314485,-0.0
-5.45,0.0,0.0,0.3,-10.0,-0.356417,0.157243,-0.0
-5.45,0.0,0.0,0.3,0.0,0.0,-0.0,0.0
-5.45,0.0,0.0,0.3,10.0,0.356417,-0.157243,0.0
-5.45,0.0,0.0,0.3,20.0,0.712834,-0.314485,0.0
-5.45,0.0,0.0,0.5,-20.0,-0.785196,0.34641,-0.0
-5.45,0.0,0.0,0.5,-10.0,-0.392598,0.173205,-0.0
-5.45,0.0,0.0,0.5,0.0,0.0,-0.0,0.0
-5.45,0.0,0.0,0.5,10.0,0.392598,-0.173205,0.0
-5.45,0.0,0.0,0.5,20.0,0.785196,-0.34641,0.0
-5.45,0.0,0.0,0.65,-20.0,-0.894814,0.394771,-0.0
-5.45,0.0,0.0,0.65,-10.0,-0.447407,0.197386,-0.0
-5.45,0.0,0.0,0.65,0.0,0.0,-0.0,0.0
-5.45,0.0,0.0,0.65,10.0,0.447407,-0.197386,0.0
-5.45,0.0,0.0,0.65,20.0,0.894814,-0.394771,0.0
-5.45,0.0,0.0,0.72,-20.0,-0.979864,0.432293,-0.0
-5.45,0.0,0.0,0.72,-10.0,-0.489932,0.216146,-0.0
-5.45,0.0,0.0,0.72,0.0,0.0,-0.0,0.0
-5.45,0.0,0.0,0.72,10.0,0.489932,-0.216146,0.0
-5.45,0.0,0.0,0.72,20.0,0.979864,-0.432293,0.0
-5.45,0.0,0.0,0.8,-20.0,-1.133333,0.5,-0.0
-5.45,0.0,0.0,0.8,-10.0,-0.566667,0.25,-0.0
-5.45,0.0,0.0,0.8,0.0,0.0,-0.0,0.0
-5.45,0.0,0.0,0.8,10.0,0.566667,-0.25,0.0
-5.45,0.0,0.0,0.8,20.0,1.133333,-0.5,0.0
-5.45,0.0,5.0,0.3,-20.0,-0.712834,0.314485,-0.0
-5.45,0.0,5.0,0.3,-10.0,-0.356417,0.157243,-0.0
-5.45,0.0,5.0,0.3,0.0,0.0,-0.0,0.0
-5.45,0.0,5.0,0.3,10.0,0.356417,-0.157243,0.0
-5.45,0.0,5.0,0.3,20.0,0.712834,-0.314485,0.0
-5.45,0.0,5.0,0.5,-20.0,-0.785196,0.34641,-0.0
-5.45,0.0,5.0,0.5,-10.0,-0.392598,0.173205,-0.0
-5.45,0.0,5.0,0.5,0.0,0.0,-0.0,0.0
-5.45,0.0,5.0,0.5,10.0,0.392598,-0.173205,0.0
-5.45,0.0,5.0,0.5,20.0,0.785196,-0.34641,0.0
-5.45,0.0,5.0,0.65,-20.0,-0.894814,0.394771,-0.0
-5.45,0.0,5.0,0.65,-10.0,-0.447407,0.197386,-0.0
-5.45,0.0,5.0,0.65,0.0,0.0,-0.0,0.0
-5.45,0.0,5.0,0.65,10.0,0.447407,-0.197386,0.0
-5.45,0.0,5.0,0.65,20.0,0.894814,-0.394771,0.0
-5.45,0.0,5.0,0.72,-20.0,-0.979864,0.432293,-0.0
-5.45,0.0,5.0,0.72,-10.0,-0.489932,0.216146,-0.0
-5.45,0.0,5.0,0.72,0.0,0.0,-0.0,0.0
-5.45,0.0,5.0,0.72,10.0,0.489932,-0.216146,0.0
-5.45,0.0,5.0,0.72,20.0,0.979864,-0.432293,0.0
-5.45,0.0,5.0,0.8,-20.0,-1.133333,0.5,-0.0
-5.45,0.0,5.0,0.8,-10.0,-0.566667,0.25,-0.0
-5.45,0.0,5.0,0.8,0.0,0.0,-0.0,0.0
-5.45,0.0,5.0,0.8,10.0,0.566667,-0.25,0.0
-5.45,0.0,5.0,0.8,20.0,1.133333,-0.5,0.0
-5.45,0.0,10.0,0.3,-20.0,-0.712834,0.314485,-0.0
-5.45,0.0,10.0,0.3,-10.0,-0.356417,0.157243,-0.0
-5.45,0.0,10.0,0.3,0.0,0.0,-0.0,0.0
-5.45,0.0,10.0,0.3,10.0,0.356417,-0.157243,0.0
-5.45,0.0,10.0,0.3,20.0,0.712834,-0.314485,0.0
-5.45,0.0,10.0,0.5,-20.0,-0.785196,0.34641,-0.0
-5.45,0.0,10.0,0.5,-10.0,-0.392598,0.173205,-0.0
-5.45,0.0,10.0,0.5,0.0,0.0,-0.0,0.0
-5.45,0.0,10.0,0.5,10.0,0.392598,-0.173205,0.0
-5.45,0.0,10.0,0.5,20.0,0.785196,-0.34641,0.0
-5.45,0.0,10.0,0.65,-20.0,-0.894814,0.394771,-0.0
-5.45,0.0,10.0,0.65,-10.0,-0.447407,0.197386,-0.0
-5.45,0.0,10.0,0.65,0.0,0.0,-0.0,0.0
-5.45,0.0,10.0,0.65,10.0,0.447407,-0.197386,0.0
